Record_Type,Controlled_ID,Title,Statement,RAID_Type,Severity_Impact,Owner_Role,Mitigation_or_Resolution,Status,Related_IDs,Decision_Rationale,Relative_Timing,Next_Action,Traceability_Targets,Exercise_Boundary
RAID,RAID-001,Category and priority interpretation,Category routing or priority could be inconsistent without exact mappings and first-satisfied Critical-to-Low precedence.,Risk,High impact if uncontrolled,Request Coordinator,"Freeze the four category routes; evaluate Critical, High, Medium, then Low; the first satisfied level controls; verify the representative input twice.",Mitigated,REQ-003;UAT-003;DEC-001;CUT-002,NOT_APPLICABLE,T-5,Retain the mapping and precedence in the model.,REQ-003;DEC-001;CUT-002,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
RAID,RAID-002,Four-role sufficiency,The bounded scenario assumes the two-stage intake model fits within eight states and four roles.,Assumption,Medium impact if false,Request Coordinator,Keep Stage A in Draft-to-Submitted and Stage B in the Submitted-to-ClarificationRequested loop; confirm every action has one of the four modeled owners.,ValidatedForExercise,NEED-002;REQ-001;REQ-002;REQ-004;REQ-005;UAT-001;UAT-002;UAT-004;UAT-005;DEC-001,NOT_APPLICABLE,T-5,Revisit only if an orphan responsibility appears.,REQ-001;REQ-002;REQ-004;REQ-005;UAT-001;UAT-002;DEC-001,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
RAID,RAID-003,Stale completeness result,Stage-B resubmission initially retained a stale result after missing reporting-period and exception-filter details were supplied.,Issue,Medium impact,Request Coordinator,Resolve DEF-001 by recalculating completeness on every resubmission and verify return to Submitted.,Resolved,REQ-002;UAT-002;DEF-001;DEC-002,NOT_APPLICABLE,T-1,Carry the recheck into RUN-001.,REQ-002;DEF-001;DEC-002,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
RAID,RAID-004,Readiness exit evidence,Simulated go/no-go depends on all UAT cases reaching final PASS and both defects having passing retests.,Dependency,High impact if unmet,Request Coordinator,Reconcile eight final PASS results and two resolved defects before CUT-004.,Satisfied,UAT-001;UAT-002;UAT-003;UAT-004;UAT-005;UAT-006;UAT-007;UAT-008;DEF-001;DEF-002;CUT-004,NOT_APPLICABLE,T-1,Preserve traceable readiness evidence.,DEF-001;DEF-002;CUT-004,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
RAID,RAID-005,Premature closure,The initial model could close without explicit requester acceptance.,Risk,High impact if unresolved,Requester,Resolve DEF-002; enforce the validation gate; include recovery guidance in RUN-002.,Mitigated,REQ-007;UAT-007;DEF-002;DEC-002;CUT-004;RUN-002,NOT_APPLICABLE,T-1,Monitor the gate in smoke checks and modeled hypercare.,REQ-007;DEF-002;DEC-002;CUT-004;RUN-002,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
RAID,RAID-006,Support handoff evidence,"Handoff depends on requester decision, resolution summary, accountable owner, category, support reference, handoff note, three runbooks, and a reconciled ownership matrix.",Dependency,Medium impact if unmet,Support Analyst,Require the six closure/handoff fields; runbook readiness; smoke evidence; and CUT-007 handoff confirmation.,Satisfied,REQ-008;ACC-010;UAT-008;CUT-003;CUT-006;CUT-007;SUP-001;SUP-002;SUP-003;RUN-001;RUN-002;RUN-003,NOT_APPLICABLE,T+3,Preserve lifecycle and handoff evidence.,REQ-008;ACC-010;UAT-008;CUT-006;CUT-007;RUN-001;RUN-002;RUN-003,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
DEC,DEC-001,Two-stage intake and platform-neutral configuration,Adopt the Stage-A gate; Stage-B completeness loop; category; priority; assignment; communication; closure rules; eight-state workflow; and one accountable Fulfiller.,NOT_APPLICABLE,Material design decision,Request Coordinator,Approved for this bounded exercise.,ApprovedForExercise,NEED-002;NEED-003;NEED-004;NEED-005;RAID-001;RAID-002;REQ-001;REQ-002;REQ-003;REQ-004;REQ-005;REQ-006;REQ-007;REQ-008;UAT-001;UAT-002;UAT-003;UAT-004;UAT-005;UAT-006;UAT-007;UAT-008;CUT-002,Concrete rules make decisions reviewable without pretending to configure a tool.,T-5,Freeze the rule set at CUT-002.,REQ-001;REQ-002;REQ-003;REQ-004;REQ-005;REQ-006;REQ-007;REQ-008;CUT-002,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
DEC,DEC-002,Retests required before readiness,Require both bounded findings to receive a documented correction and passing retest before CUT-004 performs simulated go/no-go.,NOT_APPLICABLE,Material readiness decision,Request Coordinator,Approved and verified after both retests passed.,ApprovedAndVerified,RAID-003;RAID-005;UAT-002;UAT-007;DEF-001;DEF-002;REQ-002;REQ-007;ACC-003;ACC-008;ACC-009;CUT-004,Readiness is not credible until the stale result and closure guard pass reciprocal retests.,T-1,Reconcile the result in CUT-004.,DEF-001;DEF-002;CUT-004,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
DEC,DEC-003,Simulated GO resulting from CUT-004,Record the simulated GO produced by CUT-004 after prerequisites pass; the decision then governs CUT-005 through CUT-007.,NOT_APPLICABLE,Material transition decision,Request Coordinator,CUT-004 produced simulated GO; no deployment occurs.,SimulatedGO,UAT-001;UAT-002;UAT-003;UAT-004;UAT-005;UAT-006;UAT-007;UAT-008;DEF-001;DEF-002;RAID-004;CUT-001;CUT-002;CUT-003;CUT-004;CUT-005;CUT-006;CUT-007,Downstream transition; smoke; and handoff evidence cannot be prerequisites for the decision.,T-1,Proceed to CUT-005; CUT-006 and CUT-007 provide downstream evidence.,CUT-004;CUT-005;CUT-006;CUT-007,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED

