Record_Type,Controlled_ID,Title,Statement,Parent_IDs,Owner_Role,Priority,Configuration_Rule,Readiness_State,Validation_Method,Expected_Result,Traceability_Targets,Assumptions,Status,Notes,Exercise_Boundary
NEED,NEED-001,Consistent intake and visible status,The fictional requester needs one consistent intake path and a visible modeled status record.,NOT_APPLICABLE,Requester,High,NOT_APPLICABLE,ApprovedForExercise,Trace to requirements and synthetic UAT,Requirements cover intake and material status communication.,REQ-001;REQ-006,Four-role model is sufficient.,ApprovedForExercise,No real discovery interview occurred.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
NEED,NEED-002,Two-stage completeness and clarification,The fictional process needs an explicit Stage-A minimum submission gate and a separate Stage-B post-submission completeness review with recalculation after clarification.,NOT_APPLICABLE,Request Coordinator,High,NOT_APPLICABLE,ApprovedForExercise,Trace to both intake requirements and synthetic UAT,Missing Stage-A minimum content stays Draft; insufficient Stage-B detail enters ClarificationRequested and is recalculated after resubmission.,REQ-001;REQ-002,Minimum and conditional completeness details are explicitly defined in the exercise.,ApprovedForExercise,Defines the distinct Stage-A gate and Stage-B completeness business need.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
NEED,NEED-003,Deterministic routing and ownership,"Category, priority, and accountable ownership need documented rules.",NOT_APPLICABLE,Request Coordinator,High,NOT_APPLICABLE,ApprovedForExercise,Trace to requirements and synthetic UAT,The same inputs follow the same precedence and category route; coordinator fallback is visible until one accountable Fulfiller is assigned.,REQ-003;REQ-004,A single Fulfiller can own the modeled work.,ApprovedForExercise,"Defines repeatable classification, routing, and accountable-ownership behavior.",SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
NEED,NEED-004,Controlled fulfillment and escalation,"Modeled work needs allowed transitions, blocker details, and escalation/status evidence.",NOT_APPLICABLE,Fulfiller,High,NOT_APPLICABLE,ApprovedForExercise,Trace to requirements and synthetic UAT,Transitions and blocker communication are controlled.,REQ-004;REQ-005;REQ-006,Relative update labels are sufficient.,ApprovedForExercise,No live notification is sent.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
NEED,NEED-005,Requester validation before closure,The modeled requester needs to accept or return the outcome before closure.,NOT_APPLICABLE,Requester,High,NOT_APPLICABLE,ApprovedForExercise,Trace to closure requirement and synthetic UAT,Closure cannot bypass explicit synthetic validation.,REQ-007,Requester decision is recorded in the exercise.,ApprovedForExercise,No real user acceptance occurred.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
NEED,NEED-006,Support-ready closure and handoff,Closure needs reusable resolution context and a clear support owner.,NOT_APPLICABLE,Support Analyst,Medium,NOT_APPLICABLE,ApprovedForExercise,Trace to handoff requirement and synthetic UAT,Support reference and ownership context remain available.,REQ-008,Static documentation is sufficient for the exercise.,ApprovedForExercise,No real support operation exists.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
REQ,REQ-001,Stage-A minimum submission gate,"Require request summary, category, business impact, requested outcome, and requester role before Draft can move to Submitted.",NEED-001;NEED-002,Requester,High,Stage A minimum gate: request summary; category; business impact; requested outcome; requester role,ReadyForSyntheticUAT,UAT-001,"If any minimum field is absent, the request remains Draft, direct submission is rejected, and ClarificationRequested is not used; all five present permits Submitted.",ACC-001;ACC-002;UAT-001,The five fields contain fictional non-PII content.,VerifiedInSyntheticUAT,"Configuration rule is a field, not a new controlled ID.",SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
REQ,REQ-002,Stage-B completeness review and clarification,"After Submitted, the Request Coordinator checks urgency, requested-by relative window, category-specific detail, and routing or fulfillment context; insufficient detail enters ClarificationRequested and every resubmission recalculates completeness.",NEED-002,Request Coordinator,High,Stage B completeness: urgency; requested-by relative window; category-specific detail; supporting context or constraints,ReadyAfterBoundedCorrection,UAT-002 and passing retest,Insufficient conditional detail moves Submitted to ClarificationRequested; supplied detail is recalculated and can return ClarificationRequested to Submitted without a stale result.,ACC-003;UAT-002;DEF-001,Stage-A minimum content is already present before Stage-B review.,VerifiedAfterRetest,Bounded configuration and guidance correction only.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
REQ,REQ-003,Category and priority rules,"Apply the exact four category-to-route mappings and evaluate Critical, High, Medium, then Low in fixed order so the first satisfied level controls.",NEED-003,Request Coordinator,High,"Category routes: Access or permission->Access/Permissions; Application or workflow issue->Application/Workflow; Data or reporting request->Data/Reporting; General service request->General Service. Priority precedence: Evaluate Critical, then High, then Medium, then Low; the first satisfied level controls. Critical=fully blocked, no workaround, immediate action; High=multiple users or time-sensitive commitment materially affected, or one requester fully blocked without workaround; Medium=workaround available or near-term requested-by window; Low=informational, routine, minor enhancement, or no near-term impact.",ReadyForSyntheticUAT,UAT-003,"The representative Data or reporting request is not Critical or High, first satisfies Medium, and repeatedly routes to Data/Reporting.",ACC-004;UAT-003,Priority precedence and all four category routes are frozen and platform-neutral.,VerifiedInSyntheticUAT,No platform configuration is claimed.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
REQ,REQ-004,Single accountable Fulfiller,"Until a matching Fulfiller is available, the request remains Submitted and the Request Coordinator retains coordination. Once assigned, exactly one Fulfiller is accountable. Reassignment requires a reason and leaves exactly one current accountable Fulfiller.",NEED-003;NEED-004,Request Coordinator,High,"Assignment lifecycle: Until a matching Fulfiller is available, the request remains Submitted and the Request Coordinator retains coordination. Once assigned, exactly one Fulfiller is accountable. Reassignment requires a reason and leaves exactly one current accountable Fulfiller.",ReadyForSyntheticUAT,UAT-004,"With no matching skill, state remains Submitted and the coordinator retains coordination; assignment and every reasoned reassignment leave exactly one current accountable Fulfiller.",ACC-005;UAT-004,A fictional matching Fulfiller becomes available during the modeled path.,VerifiedInSyntheticUAT,Collaboration does not create a fifth role.,SYNTHETIC_EXERCISE_ONLY; NO_REAL_IMPLEMENTATION_OR_OUTCOME; NOT_PUBLICLY_APPROVED
